rank,min_rel_volume,min_change_pct,take_profit_pct,stop_loss_pct,total_return_%,final_value,realized_pnl,total_trades,wins,losses,win_rate_%
1,1.0,0.0,1.0,-1.0,19.2159,119.2159,19.2159,129,70,59,54.3
2,1.25,0.0,1.0,-1.0,19.2159,119.2159,19.2159,129,70,59,54.3
3,1.5,0.0,1.0,-1.0,19.2159,119.2159,19.2159,129,70,59,54.3
4,1.75,0.0,1.0,-1.0,19.2159,119.2159,19.2159,128,69,59,53.9
5,1.25,0.5,1.0,-1.0,18.5462,118.5462,18.5462,130,69,61,53.1
6,1.5,0.5,1.0,-1.0,18.5462,118.5462,18.5462,130,69,61,53.1
7,1.0,0.5,1.0,-1.0,18.5462,118.5462,18.5462,130,69,61,53.1
8,1.75,0.5,1.0,-1.0,18.0473,118.0473,18.0473,126,65,61,51.6
9,1.25,1.0,1.0,-1.0,17.8226,117.8226,17.8226,131,74,57,56.5
10,1.0,1.0,1.0,-1.0,17.8226,117.8226,17.8226,131,74,57,56.5
11,1.5,1.0,1.0,-1.0,17.7482,117.7482,17.7482,129,72,57,55.8
12,1.75,1.0,1.0,-1.0,17.4155,117.4155,17.4155,123,68,55,55.3
13,2.0,0.0,3.0,-1.0,16.4795,116.4795,16.4795,89,41,48,46.1
14,2.0,0.0,1.0,-1.0,16.0506,116.0506,16.0506,120,61,59,50.8
15,2.0,0.5,1.0,-1.0,15.3112,115.3112,15.3112,120,62,58,51.7
16,1.75,0.0,3.0,-1.0,14.9425,114.9425,14.9425,87,40,47,46.0
17,1.25,0.0,3.0,-1.0,14.9425,114.9425,14.9425,87,40,47,46.0
18,1.5,0.0,3.0,-1.0,14.9425,114.9425,14.9425,87,40,47,46.0
19,1.0,0.0,3.0,-1.0,14.9425,114.9425,14.9425,87,40,47,46.0
20,2.0,0.5,3.0,-1.0,14.2657,114.2657,14.2657,91,38,53,41.8
21,1.5,1.0,1.0,-2.0,14.0954,114.0954,14.0954,107,64,43,59.8
22,1.25,1.0,1.0,-2.0,14.0954,114.0954,14.0954,109,66,43,60.6
23,1.0,1.0,1.0,-2.0,14.0954,114.0954,14.0954,109,66,43,60.6
24,1.75,1.0,1.0,-2.0,13.3784,113.3784,13.3784,100,58,42,58.0
25,1.5,1.0,2.0,-1.0,13.0603,113.0603,13.0603,104,49,55,47.1
26,1.25,1.0,2.0,-1.0,13.0603,113.0603,13.0603,104,49,55,47.1
27,1.0,1.0,2.0,-1.0,13.0603,113.0603,13.0603,104,49,55,47.1
28,1.75,1.0,2.0,-1.0,12.761,112.761,12.761,105,47,58,44.8
29,1.0,0.0,1.0,-2.0,12.7572,112.7572,12.7572,112,66,46,58.9
30,1.25,0.0,1.0,-2.0,12.7572,112.7572,12.7572,112,66,46,58.9
31,1.5,0.0,1.0,-2.0,12.7572,112.7572,12.7572,112,66,46,58.9
32,1.75,0.0,1.0,-2.0,12.7572,112.7572,12.7572,111,65,46,58.6
33,2.0,1.0,1.0,-1.0,12.6585,112.6585,12.6585,111,57,54,51.4
